Date;$ / TM
27/03/1981;17321201.79
30/03/1981;16927355.44
31/03/1981;16517433.73
01/04/1981;16533509.09
02/04/1981;16702300.38
03/04/1981;16814827.91
06/04/1981;17160448.18
07/04/1981;16533509.09
08/04/1981;16348642.44
09/04/1981;16171813.46
10/04/1981;15866381.6
13/04/1981;15231404.83
14/04/1981;15528799.01
15/04/1981;15311781.63
16/04/1981;15512723.65
17/04/1981;15512723.65
20/04/1981;15512723.65
21/04/1981;15464497.56
22/04/1981;16107512.02
23/04/1981;15705627.98
24/04/1981;15898532.32
27/04/1981;15528799.01
28/04/1981;15520761.33
29/04/1981;15343932.35
30/04/1981;15520761.33
01/05/1981;15673477.26
04/05/1981;15673477.26
05/05/1981;15311781.63
06/05/1981;15496648.29
07/05/1981;15360007.72
08/05/1981;15617213.5
11/05/1981;15850306.24
12/05/1981;15560949.73
13/05/1981;15568987.41
14/05/1981;15319819.31
15/05/1981;15593100.45
18/05/1981;15488610.61
19/05/1981;15480572.93
20/05/1981;15424309.16
21/05/1981;15271593.23
22/05/1981;15199254.1
25/05/1981;15199254.1
26/05/1981;14998312.09
27/05/1981;15006349.77
28/05/1981;15400196.12
29/05/1981;15408233.8
01/06/1981;15536836.69
02/06/1981;15239442.51
03/06/1981;15287668.59
04/06/1981;14869709.2
05/06/1981;14789332.39
08/06/1981;15223367.15
09/06/1981;14805407.75
10/06/1981;14958123.68
11/06/1981;14925972.96
12/06/1981;15175141.06
15/06/1981;15167103.38
16/06/1981;14837558.47
17/06/1981;14845596.15
18/06/1981;14757181.67
19/06/1981;14733068.63
22/06/1981;14853633.84
23/06/1981;14998312.09
24/06/1981;14853633.84
25/06/1981;14355297.64
26/06/1981;14210619.38
29/06/1981;13784622.31
30/06/1981;13696207.82
01/07/1981;13567604.93
02/07/1981;13326474.51
03/07/1981;13310399.15
06/07/1981;12980854.24
07/07/1981;13021042.65
08/07/1981;12787949.91
09/07/1981;13061231.05
10/07/1981;13390775.96
13/07/1981;13278248.43
14/07/1981;12932628.16
15/07/1981;13254135.39
16/07/1981;13447039.72
17/07/1981;13342549.87
20/07/1981;13262173.07
21/07/1981;13053193.37
22/07/1981;13230022.34
23/07/1981;13109457.14
24/07/1981;13101419.45
27/07/1981;13141607.86
28/07/1981;12908515.12
29/07/1981;12908515.12
30/07/1981;12932628.16
31/07/1981;13053193.37
03/08/1981;12619158.62
04/08/1981;12578970.21
05/08/1981;12615943.54
06/08/1981;12643271.66
07/08/1981;12771874.55
10/08/1981;12659347.02
11/08/1981;12892439.76
12/08/1981;13422926.68
13/08/1981;13093381.77
14/08/1981;13278248.43
17/08/1981;13230022.34
18/08/1981;13503303.49
19/08/1981;13873036.8
20/08/1981;13792659.99
21/08/1981;13808735.35
24/08/1981;13567604.93
25/08/1981;13173758.58
26/08/1981;13310399.15
27/08/1981;13238060.03
28/08/1981;13664057.1
31/08/1981;13664057.1
01/09/1981;13551529.57
02/09/1981;13824810.71
03/09/1981;14033790.41
04/09/1981;14130242.58
07/09/1981;14033790.41
08/09/1981;14114167.22
09/09/1981;14041828.09
10/09/1981;14516051.25
11/09/1981;14411561.4
14/09/1981;14508013.57
15/09/1981;14660729.5
16/09/1981;14435674.44
17/09/1981;14757181.67
18/09/1981;14371373
21/09/1981;14901859.92
22/09/1981;14853633.84
23/09/1981;14676804.86
24/09/1981;14347259.95
25/09/1981;14483900.53
28/09/1981;13551529.57
29/09/1981;13881074.48
30/09/1981;13784622.31
01/10/1981;14041828.09
02/10/1981;13985564.33
05/10/1981;14186506.34
06/10/1981;14242770.11
07/10/1981;14323146.91
08/10/1981;14250807.79
09/10/1981;14580352.69
12/10/1981;14451749.8
13/10/1981;14250807.79
14/10/1981;14282958.51
15/10/1981;14360120.24
16/10/1981;14266883.15
19/10/1981;14040220.55
20/10/1981;14059510.99
21/10/1981;13792659.99
22/10/1981;13945375.92
23/10/1981;13905187.52
26/10/1981;13696207.82
27/10/1981;13741218.83
28/10/1981;13850531.29
29/10/1981;13647981.74
30/10/1981;13728358.54
02/11/1981;13824810.71
03/11/1981;13768546.95
04/11/1981;13864999.12
05/11/1981;13776584.63
06/11/1981;13768546.95
09/11/1981;13816773.03
10/11/1981;13455077.4
11/11/1981;13246097.71
12/11/1981;13230022.34
13/11/1981;13262173.07
16/11/1981;12996929.61
17/11/1981;12820100.63
18/11/1981;12980854.24
19/11/1981;12892439.76
20/11/1981;12908515.12
23/11/1981;12755799.19
24/11/1981;12836175.99
25/11/1981;13165720.9
26/11/1981;13165720.9
27/11/1981;13230022.34
30/11/1981;13326474.51
01/12/1981;12940665.84
02/12/1981;13077306.41
03/12/1981;13390775.96
04/12/1981;13696207.82
07/12/1981;13398813.64
08/12/1981;13350587.55
09/12/1981;13189833.94
10/12/1981;13037118.01
11/12/1981;13173758.58
14/12/1981;13422926.68
15/12/1981;13286286.11
16/12/1981;13398813.64
17/12/1981;13382738.28
18/12/1981;13366662.92
21/12/1981;13197871.62
22/12/1981;12847428.75
23/12/1981;12873149.32
24/12/1981;12873149.32
25/12/1981;12873149.32
28/12/1981;12873149.32
29/12/1981;12699535.42
30/12/1981;12779912.23
31/12/1981;12779912.23
01/01/1982;12779912.23
04/01/1982;12699535.42
05/01/1982;12972816.56
06/01/1982;12908515.12
07/01/1982;12747761.51
08/01/1982;12868326.72
11/01/1982;12482518.04
12/01/1982;12506631.09
13/01/1982;12217274.58
14/01/1982;12048483.29
15/01/1982;12193161.54
18/01/1982;12016332.57
19/01/1982;12064558.65
20/01/1982;11943993.44
21/01/1982;12088671.69
22/01/1982;12128860.1
25/01/1982;11960068.8
26/01/1982;12104747.05
27/01/1982;12273538.35
28/01/1982;12329802.11
29/01/1982;12442329.64
01/02/1982;12201199.22
02/02/1982;12189946.47
03/02/1982;12152973.14
04/02/1982;12337839.79
05/02/1982;12353915.15
08/02/1982;12209236.9
09/02/1982;12169048.5
10/02/1982;12286398.64
11/02/1982;12217274.58
12/02/1982;12136897.78
15/02/1982;12064558.65
16/02/1982;12064558.65
17/02/1982;12024370.25
18/02/1982;11871654.32
19/02/1982;11871654.32
22/02/1982;11710900.7
23/02/1982;11606410.85
24/02/1982;11662674.62
25/02/1982;11781632.29
26/02/1982;11657852.01
01/03/1982;11614448.53
02/03/1982;11614448.53
03/03/1982;11373318.12
04/03/1982;11140225.38
05/03/1982;11008407.41
08/03/1982;10625813.82
09/03/1982;10585625.41
10/03/1982;10706190.62
11/03/1982;10666002.22
12/03/1982;10392721.08
15/03/1982;10031025.45
16/03/1982;10432909.48
17/03/1982;10159628.34
18/03/1982;10288231.23
19/03/1982;10151590.66
22/03/1982;10313951.81
23/03/1982;10585625.41
24/03/1982;10666002.22
25/03/1982;10537399.33
26/03/1982;10360570.35
29/03/1982;10240005.14
30/03/1982;10424871.8
31/03/1982;10288231.23
01/04/1982;10513286.29
02/04/1982;10537399.33
05/04/1982;10850868.87
06/04/1982;11108074.65
07/04/1982;11381355.8
08/04/1982;11300978.99
09/04/1982;11300978.99
12/04/1982;11300978.99
13/04/1982;11365280.43
14/04/1982;11791277.51
15/04/1982;11678749.98
16/04/1982;11662674.62
19/04/1982;11477807.96
20/04/1982;11027697.85
21/04/1982;11148263.06
22/04/1982;11091999.29
23/04/1982;11325092.03
26/04/1982;11477807.96
27/04/1982;11309016.67
28/04/1982;11397431.16
29/04/1982;11212564.5
30/04/1982;11614448.53
03/05/1982;11614448.53
04/05/1982;10987509.44
05/05/1982;10879804.52
06/05/1982;10754416.71
07/05/1982;10762454.39
10/05/1982;10577587.73
11/05/1982;10682077.58
12/05/1982;10657964.54
13/05/1982;10641889.18
14/05/1982;10714228.3
17/05/1982;10883019.6
18/05/1982;10866944.23
19/05/1982;10995547.12
20/05/1982;11011622.49
21/05/1982;10883019.6
24/05/1982;10577587.73
25/05/1982;10542221.94
26/05/1982;10617776.13
27/05/1982;10424871.8
28/05/1982;10457022.52
31/05/1982;10457022.52
01/06/1982;10248042.82
02/06/1982;10240005.14
03/06/1982;10299483.98
04/06/1982;10248042.82
07/06/1982;10457022.52
08/06/1982;10569550.05
09/06/1982;10481135.56
10/06/1982;10505248.61
11/06/1982;10457022.52
14/06/1982;10312344.27
15/06/1982;10127477.62
16/06/1982;10191779.06
17/06/1982;9934573.28
18/06/1982;9926535.599
21/06/1982;9540726.928
22/06/1982;9773819.667
23/06/1982;9773819.667
24/06/1982;9974761.683
25/06/1982;9822045.75
28/06/1982;9765781.986
29/06/1982;9934573.28
30/06/1982;10207854.42
01/07/1982;9974761.683
02/07/1982;10055138.49
05/07/1982;10135515.3
06/07/1982;9998874.725
07/07/1982;9862234.154
08/07/1982;10079251.53
09/07/1982;10561512.37
12/07/1982;11027697.85
13/07/1982;11333129.71
14/07/1982;11341167.39
15/07/1982;11260790.59
16/07/1982;11156300.74
19/07/1982;11172376.1
20/07/1982;11180413.78
21/07/1982;11783239.83
22/07/1982;11349205.07
23/07/1982;11678749.98
26/07/1982;11325092.03
27/07/1982;11292941.31
28/07/1982;11156300.74
29/07/1982;11011622.49
30/07/1982;11024482.78
02/08/1982;11296156.38
03/08/1982;11228639.86
04/08/1982;11132187.7
05/08/1982;11140225.38
06/08/1982;11083961.61
09/08/1982;10802642.79
10/08/1982;10874981.92
11/08/1982;10722265.98
12/08/1982;10762454.39
13/08/1982;10866944.23
16/08/1982;10987509.44
17/08/1982;10858906.55
18/08/1982;11501921.01
19/08/1982;11466555.21
20/08/1982;12426254.28
23/08/1982;12683460.06
24/08/1982;13109457.14
25/08/1982;12892439.76
26/08/1982;13406851.32
27/08/1982;13439002.04
30/08/1982;13439002.04
31/08/1982;13230022.34
01/09/1982;13029080.33
02/09/1982;13173758.58
03/09/1982;14628578.78
06/09/1982;15239442.51
07/09/1982;15464497.56
08/09/1982;14725030.95
09/09/1982;14982236.73
10/09/1982;14564277.33
13/09/1982;14114167.22
14/09/1982;14604465.74
15/09/1982;14250807.79
16/09/1982;14419599.08
17/09/1982;14194544.02
20/09/1982;13639944.06
21/09/1982;13712283.18
22/09/1982;14266883.15
23/09/1982;14012892.44
24/09/1982;13856961.44
27/09/1982;13302361.47
28/09/1982;13197871.62
29/09/1982;13173758.58
30/09/1982;12763836.87
01/10/1982;12924590.48
04/10/1982;12458405
05/10/1982;12546819.49
06/10/1982;12988891.93
07/10/1982;13455077.4
08/10/1982;13921262.88
11/10/1982;13824810.71
12/10/1982;14186506.34
13/10/1982;13784622.31
14/10/1982;14403523.72
15/10/1982;13905187.52
18/10/1982;13768546.95
19/10/1982;14194544.02
20/10/1982;13567604.93
21/10/1982;13905187.52
22/10/1982;13760509.27
25/10/1982;13458292.48
26/10/1982;13479190.44
27/10/1982;13430964.36
28/10/1982;13447039.72
29/10/1982;13607793.34
01/11/1982;13736396.23
02/11/1982;13856961.44
03/11/1982;13744433.91
04/11/1982;13656019.42
05/11/1982;13422926.68
08/11/1982;13093381.77
09/11/1982;13157683.22
10/11/1982;13213946.98
11/11/1982;12900477.44
12/11/1982;12795987.59
15/11/1982;12964778.88
16/11/1982;13101419.45
17/11/1982;13262173.07
18/11/1982;13133570.18
19/11/1982;13426141.75
22/11/1982;13197871.62
23/11/1982;13053193.37
24/11/1982;13157683.22
25/11/1982;13197871.62
26/11/1982;13430964.36
29/11/1982;13953413.6
30/11/1982;14017715.05
01/12/1982;14154355.62
02/12/1982;14347259.95
03/12/1982;14186506.34
06/12/1982;14315109.23
07/12/1982;14612503.42
08/12/1982;14307071.55
09/12/1982;14065941.13
10/12/1982;14009677.37
13/12/1982;14106129.54
14/12/1982;14448534.73
15/12/1982;14065941.13
16/12/1982;14154355.62
17/12/1982;14049865.77
20/12/1982;14154355.62
21/12/1982;14218657.06
22/12/1982;14379410.68
23/12/1982;14331184.59
24/12/1982;14331184.59
27/12/1982;14331184.59
28/12/1982;14331184.59
29/12/1982;14805407.75
30/12/1982;14689665.15
31/12/1982;14689665.15
03/01/1983;14689665.15
04/01/1983;14451749.8
05/01/1983;14596428.05
06/01/1983;14612503.42
07/01/1983;14950086
10/01/1983;15239442.51
11/01/1983;15577025.09
12/01/1983;15448422.2
13/01/1983;15697590.3
14/01/1983;15536836.69
17/01/1983;16027135.21
18/01/1983;15593100.45
19/01/1983;15930683.04
20/01/1983;15665439.58
21/01/1983;15593100.45
24/01/1983;15303743.95
25/01/1983;15713665.66
26/01/1983;15641326.54
27/01/1983;15962833.76
28/01/1983;15874419.28
31/01/1983;16059285.93
01/02/1983;16348642.44
02/02/1983;16019097.53
03/02/1983;16187888.82
04/02/1983;16027135.21
07/02/1983;15761891.75
08/02/1983;15986946.81
09/02/1983;15826193.19
10/02/1983;15946758.4
